participant_id,pre_mae,pre_rmse,pre_acc_exact,pre_acc_1day,post_mae,post_rmse,post_acc_exact,post_acc_1day,improvement
1,1.4,1.9493588689617927,0.3,0.7,1.3,1.5811388300841898,0.2,0.6,0.09999999999999987
2,1.4,1.8973665961010275,0.3,0.6,1.9,2.073644135332772,0.0,0.4,-0.5
3,2.1,2.8809720581775866,0.2,0.6,2.0,2.3664319132398464,0.2,0.3,0.10000000000000009
4,1.5,1.9235384061671346,0.2,0.6,2.1,2.588435821108957,0.1,0.5,-0.6000000000000001
5,1.8,2.23606797749979,0.2,0.4,2.9,3.146426544510455,0.0,0.2,-1.0999999999999999
6,1.8,2.280350850198276,0.3,0.4,1.5,1.9235384061671346,0.2,0.6,0.30000000000000004
7,2.5,2.8106938645110393,0.1,0.2,2.5,2.9832867780352594,0.2,0.3,0.0
8,2.3,2.7386127875258306,0.1,0.3,3.5,3.8600518131237567,0.0,0.1,-1.2000000000000002
9,1.5,2.0248456731316584,0.3,0.6,1.2,1.6733200530681511,0.3,0.7,0.30000000000000004
10,2.5,2.701851217221259,0.0,0.2,2.8,3.1304951684997055,0.0,0.3,-0.2999999999999998
11,2.9,3.5355339059327378,0.2,0.3,3.2,3.82099463490856,0.1,0.3,-0.30000000000000027
12,2.2,2.8635642126552705,0.2,0.5,3.1,3.478505426185217,0.0,0.2,-0.8999999999999999
13,1.7,2.073644135332772,0.1,0.6,1.8,2.1908902300206643,0.1,0.4,-0.10000000000000009
14,2.4,2.7202941017470885,0.0,0.3,3.3,3.7282703764614498,0.1,0.2,-0.8999999999999999
15,1.3,1.760681686165901,0.3,0.6,1.5,1.70293863659264,0.1,0.5,-0.19999999999999996
16,2.3,2.9832867780352594,0.2,0.4,2.8,3.22490309931942,0.1,0.3,-0.5
17,1.9,2.345207879911715,0.2,0.5,2.4,2.8284271247461903,0.1,0.4,-0.5
18,1.9,2.345207879911715,0.2,0.4,2.6,3.1622776601683795,0.1,0.4,-0.7000000000000002
19,2.2,2.6457513110645907,0.0,0.5,1.3,1.8708286933869707,0.4,0.6,0.9000000000000001
20,1.7,2.2135943621178655,0.3,0.5,2.2,2.6457513110645907,0.1,0.4,-0.5000000000000002
